Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance;Elevation_m
SYNOP;SYNO;161458395;066270;CHD;Château-d'Oex;46.4798,7.13966;1028m;2012-02-08T09:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1026.9
SYNOP;SYNO;181129371;067890;ILZ;Ilanz;46.775,9.21535;698m;2014-05-19T11:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;698.8
SYNOP;SYNO;186335125;;LSN;Lausanne;46.5278,6.64327;601m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;596.9
SYNOP;SYNO;189358764;;COP;Courtepin;46.8601,7.12758;565m;2017-12-03T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;568.9
SYNOP;SYNO;199447357;067100;COY;Courtelary;47.1808,7.09066;695m;2015-03-17T08:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;695.2
SYNOP;SYNO;204944500;;TIC;Tiefencastel;46.6636,9.57447;897m;2017-12-04T06:00:00Z;2025-04-29T06:00:00Z;-999;-999;-999;897.3
SYNOP;SYNO;217511432;;KAS;Kandersteg;46.4938,7.67717;1178m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1177.5
SYNOP;SYNO;218669518;;BUE;Bülach;47.5196,8.52772;403m;2017-12-03T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;397.9
SYNOP;SYNO;219551021;;MOW;Möriken-Wildegg;47.4205,8.17228;405m;2017-12-03T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;403.9
SYNOP;SYNO;220307910;067330;BOL;Boltigen;46.6235,7.38421;820m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;819.6
SYNOP;SYNO;222972755;;JON;Jona;47.2239,8.84829;410m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;409.5
SYNOP;SYNO;238116038;066410;MOE;Möhlin;47.5722,7.87791;343m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;344.0
